Nazwa:;Symbol:;Strefa:
Luboñ Unijna;LUUNI01;B
Luboñ Unijna;LUUNI02;B
Luboñ Wojska Polskiego;LUWPL01;B
Luboñ Wojska Polskiego;LUWPL04;B
Luboñ ¯abikowo;LUZAB01;B
Luboñ ¯abikowo;LUZAB02;B
Lutycka I;LU I01;A
Lutycka I;LU I02;A
Lutycka II;LUII01;A
Lutycka II;LUII02;A
£awica;LAWI01;A
£awica;LAWI02;A
£¹kowa;LAKO41;A
£¹kowa;LAKO42;A
£êgi Dêbiñskie;LEDE91;A
£êgi Dêbiñskie;LEDE92;A
£êgowskiego;LEGO01;A
£êgowskiego;LEGO02;A
£êgowskiego I;LENZ01;A
£êgowskiego I;LENZ02;A
£om¿yñska;LOMZ01;A
£om¿yñska;LOMZ02;A
£om¿yñska;LOMZ41;A
£om¿yñska;LOMZ42;A
£opawska;LOPA01;A
£opawska;LOPA02;A
£opianowa;LOPI01;A
£opianowa;LOPI02;A
£ozowa;LOZO01;A
£ozowa;LOZO02;A
£ugañska;LUGA01;A
£ugañska;LUGA02;A
£upowska;LUPO01;A
£upowska;LUPO02;A
£u¿ycka;LUCK01;A
M. Goœlina Cmentarz;MGCME01;C
M. Goœlina Cmentarz;MGCME02;C
M. Goœlina Jod³owa;MGJOD01;C
M. Goœlina Jod³owa;MGJOD02;C
M. Goœlina Krêta;MGKRT02;C
M. Goœlina Leœna;MGLES01;C
M. Goœlina Leœna;MGLES02;C
M. Goœlina Modrzewiowa;MGMOD01;C
M. Goœlina Nowy Rynek;MGNRY01;C
M. Goœlina Okrê¿na;MGOKR01;C
M. Goœlina Okrê¿na;MGOKR02;C
M. Goœlina Rynek;MGRYN01;C
M. Goœlina Rynek;MGRYN02;C
M1 Centrum Handlowe;M1 I01;A
M1 Centrum Handlowe;M1 I02;A
Maków Polnych;MAPO01;A
Maków Polnych;MAPO02;A
Malechowska;MALE01;A
Malechowska;MALE02;A
Malwowa;MALW01;A
Malwowa;MALW02;A
Malwowa I;MANZ01;A
Malwowa I;MANZ02;A
Ma³e Garbary;MAGA01;A
Ma³e Garbary;MAGA02;A
Ma³e Garbary;MAGA03;A
Ma³e Garbary;MAGA04;A
Ma³e Garbary;MAGA41;A
Ma³e Garbary;MAGA42;A
Marceliñska;MARC01;A
Marceliñska;MARC02;A
Marceliñska;MARC03;A
Marceliñska;MARC04;A
Marcinkowskiego;MRCI02;A
Marcinkowskiego;MRCI71;A
Marcinkowskiego;MRCI72;A
Marlewo;MARL01;A
Marlewo;MARL02;A
Marsza³kowska;MARS01;A
Marsza³kowska;MARS02;A
Mateckiego;MAGO01;A
Mateckiego;MAGO02;A
Matejki;MATE01;A
Matejki;MATE02;A
Matejki;MATE41;A
Matejki;MATE42;A
Miêdzyzdrojska;MIED01;A
Miêdzyzdrojska;MIED02;A
Miêdzyzdrojska;MIED03;A
Miêkowo Kolejowa;MWKOL01;C
Miêkowo Kolejowa;MWKOL02;C
Milczañska;MILC01;A
Mi³ostowo;MILO01;A
Mi³ostowo;MILO02;A
Mi³ostowo;MILO42;A
M³yn;MLYN01;A
M³yn;MLYN02;A
Mogileñska;MOGI02;A
Morszyñska;MORS01;A
Morszyñska;MORS02;A
Most Dworcowy;MODW02;A
Most Dworcowy;MODW03;A
Most Dworcowy;MODW41;A
Most Dworcowy;MODW42;A
Most Œw. Rocha;MORO01;A
Most Œw. Rocha;MORO71;A
Most Œw. Rocha;MORO72;A
Most Teatralny;MT01;A
Most Teatralny;MT02;A
Most Teatralny;MT41;A
Most Teatralny;MT43;A
Most Teatralny;MT44;A
Most Teatralny;MT72;A
Mostowa;MOST01;A
Mr¹gowska;MRAG01;A
Mr¹gowska;MRAG02;A
Murawa;MURA41;A
Murawa;MURA42;A
Nad Jeziorem;NJEZ01;A
Nad Jeziorem;NJEZ02;A
Nad Wierzbakiem;NADW01;A
Nad Wierzbakiem;NADW02;A
Nad Wierzbakiem;NADW41;A
Nad Wierzbakiem;NADW42;A
Nagietkowa;NAWA01;A
Nagietkowa;NAWA02;A
Naramowice;NARA01;A
Naramowice;NARA02;A
Naramowicka;NAWI01;A
Naramowicka;NAWI02;A
Naramowicka/Serbska;NASE01;A
Naramowicka/Serbska;NASE02;A
Naramowicka/Serbska;NASE03;A
Naramowicka/Serbska;NASE04;A
Nastawnia;NAST01;A
Nastawnia;NAST02;A
Niedzia³kowskiego;NIED01;A
Niedzia³kowskiego;NIED02;A
Niestachowska;NIES01;A
Niestachowska;NIES02;A
Niez³omnych;NIEZ01;A
Niez³omnych;NIEZ02;A
Ni¿añska;NIZA01;A
Ni¿añska;NIZA02;A
Nowe Kotowo;NOKO01;A
Nowe ZOO;ZOO22;A
Nowowiejskiego;NOGO01;A
Nowowiejskiego;NOGO02;A
Obodrzycka/Orbit;OBOD01;A
Obodrzycka/Orbit;OBOD02;A
Obornicka;OBOR01;A
Obornicka;OBOR02;A
Ognik;OGNI01;A
Ognik;OGNI02;A
Ogrody;OGDY01;A
Ogrody;OGDY02;A
Ogrody;OGDY04;A
Ogrody;OGDY42;A
Okopowa;OKOP01;A
Okopowa;OKOP02;A
Okulickiego;OKUL01;A
Okulickiego;OKUL02;A
Oliwkowa;OLIW91;A
Oliwkowa;OLIW92;A
Opalenicka;OPAL01;A
Opalenicka;OPAL02;A
Opieñskiego;OPIE01;A
Opieñskiego;OPIE02;A
Op³otki;OPNZ01;A
Op³otki;OPNZ02;A
Opolska;OPOL01;A
Opolska;OPOL02;A
Opolska;OPOL92;A
Orle Gniazdo;ORGN01;A
Orle Gniazdo;ORGN02;A
Os. Armii Krajowej;OAK01;A
Os. Armii Krajowej;OAK02;A
Os. Bajkowe;OBA01;A
Os. Bajkowe;OBA02;A
Os. Batorego I;OSBI01;A
Os. Batorego I;OSBI02;A
Os. Batorego II;OSBA01;A
Os. Batorego II;OSBA02;A
Os. Batorego II;OSBA03;A
Os. Batorego II;OSBA04;A
Os. Bohaterów II Wojny Œwiatowej;OBOH01;A
Os. Bohaterów II Wojny Œwiatowej;OBOH02;A
Os. Chrobrego;OSCH01;A
Os. Chrobrego;OSCH02;A
Os. Czecha;OCZ01;A
Os. Czecha;OCZ02;A
Os. Czecha;OCZ41;A
Os. Czecha;OCZ42;A
Os. Czecha I;CZ I01;A
Os. Czecha I;CZ I02;A
Os. Czecha II;CZII01;A
Os. Czecha II;CZII02;A
Os. Czecha III;CIII01;A
Os. Dêbina;OSDE01;A
